relationship_id,neo4j_rel_type,source_entity_id,target_entity_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe
rel_f05c1c392e5b04d5,REL_C8F49B50A6,ent_02a90b60a92a5fde,ent_a19ec6fabc808731,建立高压油管定期更换制度,燃油管破裂,预防管理策略,故障类型,用于预防,用于预防,用于预防,预防方面应,"[""预防方面应""]",预防方面应,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于预防"", ""relation_key"": ""用于预防"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""故障类型""}",[445],445
rel_7648f7284eac98cd,REL_F599D32E5F,ent_035e8c2d1dce9053,ent_ba59e062e81c9117,烘干,电网绝缘过低与接地故障,处置措施,故障类型,用于处理,用于处理,用于处理,应进行,"[""应进行""]",应进行,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于处理"", ""relation_key"": ""用于处理"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""故障类型""}",[436],436
rel_34ea1005c0911935,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_03ce62b7e90f4d08,FMECA,活塞,监测诊断手段,机电对象,监测,监测,监测,识别,"[""识别""]",识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[430],430
rel_f9bd6e0aecfa4b58,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_041adbff7367a8d3,FMECA,安保与报警控制系统,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_997128811ad1c837,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_0df3af14a7ec46fd,FMECA,分油机,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_4d0933361cd74ef7,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_14b68f73ab9f7b16,FMECA,气门,监测诊断手段,机电对象,监测,监测,监测,识别,"[""识别""]",识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[430],430
rel_a43ba1265c020752,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_307c2e5bd74d308c,FMECA,主推进系统,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_484bff0ebc7b67c3,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_36fcf32d7c449db1,FMECA,发电机与主配电板,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_cc6b2bfb3a1f2502,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_51f510ed28884a33,FMECA,主机,监测诊断手段,机电对象,监测,监测,监测,识别,"[""识别""]",识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[430],430
rel_e822c32ffe414ff2,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_581211b4320ecb36,FMECA,轴承,监测诊断手段,机电对象,监测,监测,监测,识别,"[""识别""]",识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[430],430
rel_2a3a90ae173fdfbf,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_6e17100707691fcc,FMECA,曲轴,监测诊断手段,机电对象,监测,监测,监测,识别,"[""识别""]",识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[430],430
rel_391a6a8a3127f7c1,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_bd861b251f8819b9,FMECA,舵机液压系统,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_5f04e47c9c7036e1,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_bf068c636de5a24f,FMECA,电动机与变频器,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_a4dd33c57aa44677,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_d14f87aaeab78d0c,FMECA,废气锅炉,监测诊断手段,机电对象,监测,监测,监测,对...进行分层分析,"[""对...进行分层分析""]",对...进行分层分析,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[427],427
rel_6031111d14fb2550,REL_6ED9EA33F3,ent_038360f851d3c01c,ent_d9ada4a600a3fc23,FMECA,活塞环,监测诊断手段,机电对象,监测,监测,监测,识别,"[""识别""]",识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[430],430
rel_df805289886084d6,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_0df3af14a7ec46fd,材料选型,分油机,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_f7430315278a89ee,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_1ff4b8c684cd3f2e,材料选型,报警与控制系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_b993431a221a3f0c,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_48a108bcc4076287,材料选型,发电与配电系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_98661808f7e86cc8,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_637b26b3e71416a6,材料选型,液压与辅助机械系统,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_a4601293040c579d,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_87d91ffec8479486,材料选型,变频器,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_3c41a33b3b81d02a,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_9836c6cfe96e4b0c,材料选型,船舶主推进装置,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_5343d79407b8c829,REL_FEA281029C,ent_03d631fb62aeb2b6,ent_d14f87aaeab78d0c,材料选型,废气锅炉,预防管理策略,机电对象,适用于,适用于,适用于,决定了设备运行的初始可靠性,"[""决定了设备运行的初始可靠性""]",决定了设备运行的初始可靠性,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[451],451
rel_35dba13d9d96f4c3,REL_5D9506010F,ent_0631fe42b5b5605b,ent_47a386d60a2b87f6,不对中,幅值,故障类型,故障现象,表现为,表现为,表现为,识别...故障征兆,"[""识别...故障征兆""]",识别...故障征兆,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[434],434
rel_91398b92437f630a,REL_5D9506010F,ent_0631fe42b5b5605b,ent_51daf878d3ebc865,不对中,频谱特征,故障类型,故障现象,表现为,表现为,表现为,识别...故障征兆,"[""识别...故障征兆""]",识别...故障征兆,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[434],434
rel_fd73c695b3084c8f,REL_5D9506010F,ent_0631fe42b5b5605b,ent_d6a2bceb3c0602b8,不对中,振动频率,故障类型,故障现象,表现为,表现为,表现为,识别...故障征兆,"[""识别...故障征兆""]",识别...故障征兆,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""故障类型"", ""target_entity_type"": ""故障现象""}",[434],434
rel_33ec17ee1c3b9792,REL_9899E5D4D0,ent_075ffd892b853233,ent_924792536dd12c1f,润滑中断,磨损,原因因素,故障现象,导致,导致,导致,加剧,"[""加剧""]",加剧,,unmapped,null,[431],431
rel_4397341114d1097b,REL_9899E5D4D0,ent_075ffd892b853233,ent_cce960dd3a280e9c,润滑中断,温升,原因因素,故障现象,导致,导致,导致,加剧,"[""加剧""]",加剧,,unmapped,null,[431],431
rel_63295c96b6f9665e,REL_FEA281029C,ent_083465913eb71667,ent_87d91ffec8479486,等待指示灯熄灭,变频器,预防管理策略,机电对象,适用于,适用于,适用于,必须,"[""必须""]",必须,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""适用于"", ""relation_key"": ""适用于"", ""source_entity_type"": ""预防管理策略"", ""target_entity_type"": ""机电对象""}",[439],439
rel_8db86e2a09cdc64d,REL_9899E5D4D0,ent_08678e4e736ac0ff,ent_350e7563162e376a,电气因素,机电故障,原因因素,故障类型,导致,导致,导致,共同耦合形成,"[""共同耦合形成""]",共同耦合形成,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[427],427
rel_580e29ac58fa39da,REL_9899E5D4D0,ent_08ebdd3384296752,ent_c5febae387fdff58,逆功率继电器整定异常,发电机并机困难与掉闸,原因因素,故障类型,导致,导致,导致,由...引起,"[""由...引起""]",由...引起,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[436],436
rel_1c8d483174266f80,REL_27ECCF9785,ent_08f64f0f07a99853,ent_35d568dbcecc7cea,冷却介质带走热量的能力下降,发动机过热风险提高,故障现象,故障现象,触发,触发,触发,进而提高,"[""进而提高""]",进而提高,,unmapped,null,[433],433
rel_2c99ca09d8741676,REL_F599D32E5F,ent_0a3b470507c09a09,ent_46415cee11952997,检查控制水滤器和电磁阀状态,跑油故障,处置措施,故障类型,用于处理,用于处理,用于处理,应,"[""应""]",应,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于处理"", ""relation_key"": ""用于处理"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""故障类型""}",[440],440
rel_b5a09190d65a41af,REL_27ECCF9785,ent_0afc1a36d5f60bc2,ent_1a1faf64aeae1ff3,传感器反馈失真,误停车,原因因素,故障现象,触发,触发,触发,触发,"[""触发""]",触发,,unmapped,null,[427],427
rel_b7d576e8cac7209e,REL_27ECCF9785,ent_0afc1a36d5f60bc2,ent_d751c8ef29a803c8,传感器反馈失真,误报警,原因因素,故障现象,触发,触发,触发,触发,"[""触发""]",触发,,unmapped,null,[427],427
rel_5329f8b7cf5191aa,REL_9899E5D4D0,ent_0d0c014415d511f6,ent_32e4d0f26ac4b6e9,保护元件失效未更换,保护元件,原因因素,机电对象,导致,导致,导致,为何,"[""为何""]",为何,,unmapped,null,[454],454
rel_69c3bd1caee23ff1,REL_9899E5D4D0,ent_0da7b6ff8cb717fc,ent_9e382333a925a33d,叶轮被杂物缠绕,离心泵不排液,原因因素,故障类型,导致,导致,导致,可能导致,"[""可能导致""]",可能导致,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[437],437
rel_0269ed6742135b24,REL_9899E5D4D0,ent_0e95e2b8d182d8cf,ent_32e4d0f26ac4b6e9,台账管理缺失,保护元件,原因因素,机电对象,导致,导致,导致,是否,"[""是否""]",是否,,unmapped,null,[454],454
rel_3880addb756a9566,REL_9899E5D4D0,ent_0f5033df5fc46ec7,ent_be191d4e1e6ed86b,喷油嘴雾化不良,燃油系统故障,原因因素,故障类型,导致,导致,导致,包括,"[""包括""]",包括,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[435],435
rel_7a3724a6771fe559,REL_0392E69299,ent_0fdf11255fd710aa,ent_0631fe42b5b5605b,神经网络,不对中,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,实时识别,"[""实时识别""]",实时识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[434],434
rel_813886b557c9a4ab,REL_0392E69299,ent_0fdf11255fd710aa,ent_4e10ff6fc4e729bd,神经网络,结构共振,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,实时识别,"[""实时识别""]",实时识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[434],434
rel_42a370c56b1d1c14,REL_0392E69299,ent_0fdf11255fd710aa,ent_567c0e29ea134e8e,神经网络,齿轮磨损,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,实时识别,"[""实时识别""]",实时识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[434],434
rel_6b123b38e66676d1,REL_0392E69299,ent_0fdf11255fd710aa,ent_877baacdb1c5683f,神经网络,轴承缺陷,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,实时识别,"[""实时识别""]",实时识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[434],434
rel_8834f1924e42c8bc,REL_0392E69299,ent_0fdf11255fd710aa,ent_9a25e0de14e7fe8c,神经网络,不平衡,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,实时识别,"[""实时识别""]",实时识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[434],434
rel_c619761b3a305bf0,REL_0392E69299,ent_0fdf11255fd710aa,ent_e26340d54ebbc92e,神经网络,松动,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,实时识别,"[""实时识别""]",实时识别,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[434],434
rel_ba08a2f3f754df4a,REL_9899E5D4D0,ent_1032cbdaeb33fece,ent_d854be29d72ba872,环境温度过高,过热故障,原因因素,故障类型,导致,导致,导致,都会引发,"[""都会引发""]",都会引发,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""导致"", ""relation_key"": ""导致"", ""source_entity_type"": ""原因因素"", ""target_entity_type"": ""故障类型""}",[439],439
rel_58a3e95d40b24261,REL_6ED9EA33F3,ent_11547baaaa44f7e4,ent_bd861b251f8819b9,压力保压试验,舵机液压系统,监测诊断手段,机电对象,监测,监测,监测,进行,"[""进行""]",进行,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""监测"", ""relation_key"": ""监测"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""机电对象""}",[447],447
rel_9ff9955cb9bc76ba,REL_9899E5D4D0,ent_11aaffe027522a78,ent_0d473d56df81dc68,活塞环卡滞,吹气故障,原因因素,故障现象,导致,导致,导致,引发,"[""引发""]",引发,,unmapped,null,[431],431
rel_3e5f60ac22a5a5b5,REL_9899E5D4D0,ent_11aaffe027522a78,ent_280f1e045a4110c7,活塞环卡滞,缸套划伤,原因因素,故障现象,导致,导致,导致,引发,"[""引发""]",引发,,unmapped,null,[431],431
rel_94dd010a6b3bd04c,REL_F599D32E5F,ent_122720aeb062b57b,ent_5f2c8fd174f704b6,更换污染严重的液压油,舵机液压系统压力异常,处置措施,故障类型,用于处理,用于处理,用于处理,应,"[""应""]",应,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于处理"", ""relation_key"": ""用于处理"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""故障类型""}",[437],437
rel_14a089929c78c50b,REL_0392E69299,ent_12435a86e5860a28,ent_008588b568bdc6f0,随机森林,过热,监测诊断手段,故障类型,用于诊断,用于诊断,用于诊断,具有较好的识别效果,"[""具有较好的识别效果""]",具有较好的识别效果,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""用于诊断"", ""relation_key"": ""用于诊断"", ""source_entity_type"": ""监测诊断手段"", ""target_entity_type"": ""故障类型""}",[435],435
