entity_id,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_021e94630e77dcc2,ent_021e94630e77dcc2,ent_021e94630e77dcc2,重油沉淀柜,重油沉淀柜,重油沉淀柜,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[504],504,"[""eocc_dbae8d00e23e9c25""]",eocc_dbae8d00e23e9c25
ent_0228247d5d96544b,ent_0228247d5d96544b,ent_0228247d5d96544b,第 4 缸曲柄销轴承有挤铅现象,第4缸曲柄销轴承有挤铅现象,第 4 缸曲柄销轴承有挤铅现象,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[503],503,"[""eocc_5c5862995e2ffe3f""]",eocc_5c5862995e2ffe3f
ent_02436c4f3cd2c89d,ent_02436c4f3cd2c89d,ent_02436c4f3cd2c89d,TH 轮,th轮,TH 轮,船舶,船舶,"[""船舶""]",船舶,,{},"[495, 509]",495|509,"[""eocc_70531dcd5cd5cd46"", ""eocc_beb8ab35463cf25e""]",eocc_70531dcd5cd5cd46|eocc_beb8ab35463cf25e
ent_0276af44cebed301,ent_0276af44cebed301,ent_0276af44cebed301,使用专用工具临时锁住转子,使用专用工具临时锁住转子,使用专用工具临时锁住转子,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[488],488,"[""eocc_d85748e9d7647245""]",eocc_d85748e9d7647245
ent_02870938a3c7e7be,ent_02870938a3c7e7be,ent_02870938a3c7e7be,柱塞换新,柱塞换新,柱塞换新,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[482],482,"[""eocc_d3db63909a2d9913""]",eocc_d3db63909a2d9913
ent_0288a87acf74c72d,ent_0288a87acf74c72d,ent_0288a87acf74c72d,剧烈敲击,剧烈敲击,剧烈敲击,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[485],485,"[""eocc_7fc310e63e283271""]",eocc_7fc310e63e283271
ent_02c28aa2680bd462,ent_02c28aa2680bd462,ent_02c28aa2680bd462,主机事故,主机事故,主机事故,事故类别,事故类别,"[""事故类别""]",事故类别,,{},[459],459,"[""eocc_81f57626f164ca46""]",eocc_81f57626f164ca46
ent_02f9092bcf02521f,ent_02f9092bcf02521f,ent_02f9092bcf02521f,将令槽内台阶锉平,将令槽内台阶锉平,将令槽内台阶锉平,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[494],494,"[""eocc_8d76f8f586e1b1a1""]",eocc_8d76f8f586e1b1a1
ent_03139763483a286e,ent_03139763483a286e,ent_03139763483a286e,把前面第 1~4 缸的凸轮轴整体向后调节 9 度后再将考比林焊牢,把前面第14缸的凸轮轴整体向后调节9度后再将考比林焊牢,把前面第 1~4 缸的凸轮轴整体向后调节 9 度后再将考比林焊牢,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[510],510,"[""eocc_84c6b3f1dc24af85""]",eocc_84c6b3f1dc24af85
ent_0378dbeb5a37d18c,ent_0378dbeb5a37d18c,ent_0378dbeb5a37d18c,送厂对转子进行动平衡试验,送厂对转子进行动平衡试验,送厂对转子进行动平衡试验,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[498],498,"[""eocc_cb965d30112cb3e3""]",eocc_cb965d30112cb3e3
ent_038802c6c8d34fe2,ent_038802c6c8d34fe2,ent_038802c6c8d34fe2,拖延修理,拖延修理,拖延修理,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[462],462,"[""eocc_a49d45fc4e830a27""]",eocc_a49d45fc4e830a27
ent_0388098d54e84545,ent_0388098d54e84545,ent_0388098d54e84545,缸套裂缝,缸套裂缝,缸套裂缝,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},"[505, 509]",505|509,"[""eocc_45a89b5aa20a7c39"", ""eocc_c472effcea9295cc""]",eocc_45a89b5aa20a7c39|eocc_c472effcea9295cc
ent_03bcf879ab755cd4,ent_03bcf879ab755cd4,ent_03bcf879ab755cd4,C 轮,c轮,C 轮,船舶,船舶,"[""船舶""]",船舶,,{},[471],471,"[""eocc_6a540accf3245490""]",eocc_6a540accf3245490
ent_041e094ed62f10d2,ent_041e094ed62f10d2,ent_041e094ed62f10d2,GHS 轮,ghs轮,GHS 轮,船舶,船舶,"[""船舶""]",船舶,,"{""主机型号"": ""SULZER6RLB56"", ""功率"": ""5640 kW"", ""建造地"": ""南斯拉夫"", ""建造年份"": ""1984 年"", ""转速"": ""130 r/min""}",[473],473,"[""eocc_82266c50c8763acb""]",eocc_82266c50c8763acb
ent_047a22c4327479a4,ent_047a22c4327479a4,ent_047a22c4327479a4,调节螺栓,调节螺栓,调节螺栓,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[502],502,"[""eocc_7b8185e7ccb79463""]",eocc_7b8185e7ccb79463
ent_049f9bdca6b782ee,ent_049f9bdca6b782ee,ent_049f9bdca6b782ee,定期更换滑油,定期更换滑油,定期更换滑油,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[498],498,"[""eocc_babad11a1a689316""]",eocc_babad11a1a689316
ent_04cd2af98543499a,ent_04cd2af98543499a,ent_04cd2af98543499a,柱塞下部,柱塞下部,柱塞下部,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[483],483,"[""eocc_35a2894867271d04""]",eocc_35a2894867271d04
ent_04dd600be9eafc3b,ent_04dd600be9eafc3b,ent_04dd600be9eafc3b,保险销也未用钢丝保险,保险销也未用钢丝保险,保险销也未用钢丝保险,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[465],465,"[""eocc_169fbaa045a77280""]",eocc_169fbaa045a77280
ent_04ee399e95bfb166,ent_04ee399e95bfb166,ent_04ee399e95bfb166,断令,断令,断令,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[507],507,"[""eocc_ebcac6ee4968da4e""]",eocc_ebcac6ee4968da4e
ent_050c5f117d914bef,ent_050c5f117d914bef,ent_050c5f117d914bef,堆焊修理,堆焊修理,堆焊修理,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[494],494,"[""eocc_17bfb4002976895a""]",eocc_17bfb4002976895a
ent_0519624acb43ac50,ent_0519624acb43ac50,ent_0519624acb43ac50,柱塞套筒,柱塞套筒,柱塞套筒,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[482],482,"[""eocc_e0452839730309dd""]",eocc_e0452839730309dd
ent_054cbc3dc7572149,ent_054cbc3dc7572149,ent_054cbc3dc7572149,船舶倒退,船舶倒退,船舶倒退,处置措施,处置措施,"[""处置措施""]",处置措施,,"{""数值"": ""1.5~2.0 节""}",[485],485,"[""eocc_21770a8929daa318""]",eocc_21770a8929daa318
ent_056309e9647e5144,ent_056309e9647e5144,ent_056309e9647e5144,扫气口,扫气口,扫气口,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[493],493,"[""eocc_c4e02fd4dd4b55e7""]",eocc_c4e02fd4dd4b55e7
ent_05c449fdbf72346a,ent_05c449fdbf72346a,ent_05c449fdbf72346a,强化安全意识，严格执行安全操作规程,强化安全意识严格执行安全操作规程,强化安全意识，严格执行安全操作规程,防范要求,防范要求,"[""防范要求""]",防范要求,,{},"[475, 486]",475|486,"[""eocc_d4a4056a077069a5"", ""eocc_e66c536ef425d015""]",eocc_d4a4056a077069a5|eocc_e66c536ef425d015
ent_05f638af655fdc76,ent_05f638af655fdc76,ent_05f638af655fdc76,第 1~4 缸,第14缸,第 1~4 缸,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[511],511,"[""eocc_8cc82e34c1e1779d""]",eocc_8cc82e34c1e1779d
ent_0612ac996173078a,ent_0612ac996173078a,ent_0612ac996173078a,机油泵,机油泵,机油泵,设备部件,设备部件,"[""设备部件""]",设备部件,,{},"[468, 470]",468|470,"[""eocc_1b2e7bfd787a6815"", ""eocc_2af3efa0da6dcc6c""]",eocc_1b2e7bfd787a6815|eocc_2af3efa0da6dcc6c
ent_06958601b6f393a6,ent_06958601b6f393a6,ent_06958601b6f393a6,南非 RICHARD BAY 港,南非richardbay港,南非 RICHARD BAY 港,地点,地点,"[""地点""]",地点,,{},[503],503,"[""eocc_20abba978e692fc1""]",eocc_20abba978e692fc1
ent_070f6dd6f1c6f001,ent_070f6dd6f1c6f001,ent_070f6dd6f1c6f001,维持航行至锚地,维持航行至锚地,维持航行至锚地,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[492],492,"[""eocc_b69783e828ad0221""]",eocc_b69783e828ad0221
ent_072ddfdc9f382cf2,ent_072ddfdc9f382cf2,ent_072ddfdc9f382cf2,燃烧恶化,燃烧恶化,燃烧恶化,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[461],461,"[""eocc_9a16b226e964487b""]",eocc_9a16b226e964487b
ent_07313b4c380d2325,ent_07313b4c380d2325,ent_07313b4c380d2325,个别油泵受过伤,个别油泵受过伤,个别油泵受过伤,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[482],482,"[""eocc_192f2fa37f3fc2e8""]",eocc_192f2fa37f3fc2e8
ent_076261799ed2e6bf,ent_076261799ed2e6bf,ent_076261799ed2e6bf,滚轮窜动和撞击,滚轮窜动和撞击,滚轮窜动和撞击,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[465],465,"[""eocc_56c9358221d71b1d""]",eocc_56c9358221d71b1d
ent_077063e45dc79625,ent_077063e45dc79625,ent_077063e45dc79625,甲板,甲板,甲板,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[460],460,"[""eocc_a6ec4818ad9521bb""]",eocc_a6ec4818ad9521bb
ent_078f7fef74c81344,ent_078f7fef74c81344,ent_078f7fef74c81344,减小该缸油门,减小该缸油门,减小该缸油门,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[480],480,"[""eocc_cecd2223d629cc17""]",eocc_cecd2223d629cc17
ent_079c012f70cfe436,ent_079c012f70cfe436,ent_079c012f70cfe436,加强业务培训,加强业务培训,加强业务培训,防范要求,防范要求,"[""防范要求""]",防范要求,,{},[472],472,"[""eocc_d11f306bca0d9890""]",eocc_d11f306bca0d9890
ent_081bfce9b59cfeda,ent_081bfce9b59cfeda,ent_081bfce9b59cfeda,转子和喷嘴环化学清洗,转子和喷嘴环化学清洗,转子和喷嘴环化学清洗,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[466],466,"[""eocc_fccefff894c2dd67""]",eocc_fccefff894c2dd67
ent_084d581f3d7c807d,ent_084d581f3d7c807d,ent_084d581f3d7c807d,将主机凸轮轴第 4 缸考比林拆除,将主机凸轮轴第4缸考比林拆除,将主机凸轮轴第 4 缸考比林拆除,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[510],510,"[""eocc_2cf590bd2a60f163""]",eocc_2cf590bd2a60f163
ent_086357aacb19f812,ent_086357aacb19f812,ent_086357aacb19f812,转速波动,转速波动,转速波动,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[479],479,"[""eocc_354b9373a4ae80ba""]",eocc_354b9373a4ae80ba
ent_092b53d455ac2241,ent_092b53d455ac2241,ent_092b53d455ac2241,驾驶台操纵船舶时，必须尽量避免运转中的螺旋桨遭受外物碰击,驾驶台操纵船舶时必须尽量避免运转中的螺旋桨遭受外物碰击,驾驶台操纵船舶时，必须尽量避免运转中的螺旋桨遭受外物碰击,防范要求,防范要求,"[""防范要求""]",防范要求,,{},[502],502,"[""eocc_3aa05d031387a57e""]",eocc_3aa05d031387a57e
ent_094f5bfcfd3149aa,ent_094f5bfcfd3149aa,ent_094f5bfcfd3149aa,严重违反主机安全操作规程,严重违反主机安全操作规程,严重违反主机安全操作规程,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[475],475,"[""eocc_67088728078e7fc6""]",eocc_67088728078e7fc6
ent_095b28a36c45562a,ent_095b28a36c45562a,ent_095b28a36c45562a,主机转速加不上去,主机转速加不上去,主机转速加不上去,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[462],462,"[""eocc_3a1a5f79d9df37f8""]",eocc_3a1a5f79d9df37f8
ent_09be7d293c240a0e,ent_09be7d293c240a0e,ent_09be7d293c240a0e,船舶沿岸边坐浅,船舶沿岸边坐浅,船舶沿岸边坐浅,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[468],468,"[""eocc_4bf0f2578bfc9abc""]",eocc_4bf0f2578bfc9abc
ent_09c305337e4a3bd1,ent_09c305337e4a3bd1,ent_09c305337e4a3bd1,印尼附近海域,印尼附近海域,印尼附近海域,地点,地点,"[""地点""]",地点,,{},[513],513,"[""eocc_0a20f2d32475e4e8""]",eocc_0a20f2d32475e4e8
ent_09c7780d3e04e8fb,ent_09c7780d3e04e8fb,ent_09c7780d3e04e8fb,将温差报警设定值调至 60℃后试车,将温差报警设定值调至60后试车,将温差报警设定值调至 60℃后试车,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[480],480,"[""eocc_d962d260092e21a0""]",eocc_d962d260092e21a0
ent_09dd813673cb00a5,ent_09dd813673cb00a5,ent_09dd813673cb00a5,逐渐将主机加速至 85 r/min,逐渐将主机加速至85rmin,逐渐将主机加速至 85 r/min,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[476],476,"[""eocc_a712ad4fbb7b5cc5""]",eocc_a712ad4fbb7b5cc5
ent_09f3c70fb8a70fd1,ent_09f3c70fb8a70fd1,ent_09f3c70fb8a70fd1,航道,航道,航道,地点,地点,"[""地点""]",地点,,{},[492],492,"[""eocc_38bf96b82610d255""]",eocc_38bf96b82610d255
ent_09feb164e8e64dd8,ent_09feb164e8e64dd8,ent_09feb164e8e64dd8,主机失控,主机失控,主机失控,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[468],468,"[""eocc_e9f9720ad698f1a4""]",eocc_e9f9720ad698f1a4
ent_0a24e6d5391a8078,ent_0a24e6d5391a8078,ent_0a24e6d5391a8078,转子弯曲变形,转子弯曲变形,转子弯曲变形,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[486],486,"[""eocc_060d0b53b218e040""]",eocc_060d0b53b218e040
ent_0a3a72965f6ad883,ent_0a3a72965f6ad883,ent_0a3a72965f6ad883,锁紧螺母松动程度并不严重,锁紧螺母松动程度并不严重,锁紧螺母松动程度并不严重,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[480],480,"[""eocc_b382961b30beff8d""]",eocc_b382961b30beff8d
ent_0a6c17933faa6ed2,ent_0a6c17933faa6ed2,ent_0a6c17933faa6ed2,FH 轮主机高压油泵柱塞多次咬伤、咬死,fh轮主机高压油泵柱塞多次咬伤咬死,FH 轮主机高压油泵柱塞多次咬伤、咬死,事故案例,事故案例,"[""事故案例""]",事故案例,,"{""地点"": ""意大利热那亚港"", ""时间"": ""2000 年 6 月 13 日""}",[481],481,"[""eocc_4d5e605d3c911352""]",eocc_4d5e605d3c911352
ent_0ab63244bee5c3bc,ent_0ab63244bee5c3bc,ent_0ab63244bee5c3bc,链条箱,链条箱,链条箱,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[502],502,"[""eocc_68b7a1ede03d1e11""]",eocc_68b7a1ede03d1e11
ent_0af691989e3fe650,ent_0af691989e3fe650,ent_0af691989e3fe650,连接板,连接板,连接板,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[459],459,"[""eocc_422f17a34ca98e9e""]",eocc_422f17a34ca98e9e
ent_0bdcce432aad38e1,ent_0bdcce432aad38e1,ent_0bdcce432aad38e1,冷却管束,冷却管束,冷却管束,设备部件,设备部件,"[""设备部件""]",设备部件,,"{""数量"": ""60 多根"", ""状态"": ""损坏漏水""}",[478],478,"[""eocc_1bb9f1ddc4605087""]",eocc_1bb9f1ddc4605087
ent_0bf852ab7ad7d6e4,ent_0bf852ab7ad7d6e4,ent_0bf852ab7ad7d6e4,存在侥幸心理,存在侥幸心理,存在侥幸心理,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[462],462,"[""eocc_dd3db8cda1b76b0a""]",eocc_dd3db8cda1b76b0a
ent_0c35b40db069e251,ent_0c35b40db069e251,ent_0c35b40db069e251,主机某缸缸头出现裂纹,主机某缸缸头出现裂纹,主机某缸缸头出现裂纹,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[498],498,"[""eocc_4bc69899092928f7""]",eocc_4bc69899092928f7
ent_0c74a21a8472c0f0,ent_0c74a21a8472c0f0,ent_0c74a21a8472c0f0,对第 4、6 缸吊缸检查,对第46缸吊缸检查,对第 4、6 缸吊缸检查,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[493],493,"[""eocc_9751bdd0bfc21ac4""]",eocc_9751bdd0bfc21ac4
ent_0cae76329159fac1,ent_0cae76329159fac1,ent_0cae76329159fac1,压力表,压力表,压力表,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[471],471,"[""eocc_1cb5683d63825040""]",eocc_1cb5683d63825040
ent_0ce4419bdca4f03b,ent_0ce4419bdca4f03b,ent_0ce4419bdca4f03b,压差表 (U 型管),压差表u型管,压差表 (U 型管),设备部件,设备部件,"[""设备部件""]",设备部件,,{},[468],468,"[""eocc_02b25131e0a9b862""]",eocc_02b25131e0a9b862
ent_0cef80e1e193c8d4,ent_0cef80e1e193c8d4,ent_0cef80e1e193c8d4,发出呼味声,发出呼味声,发出呼味声,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[485],485,"[""eocc_25e1c6907ec0fe9e""]",eocc_25e1c6907ec0fe9e
ent_0cff69ed26e9ceb6,ent_0cff69ed26e9ceb6,ent_0cff69ed26e9ceb6,主机空冷器脏堵,主机空冷器脏堵,主机空冷器脏堵,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[465],465,"[""eocc_415f58897b3a8a65""]",eocc_415f58897b3a8a65
ent_0de6c51c46f84833,ent_0de6c51c46f84833,ent_0de6c51c46f84833,通过扫气箱检查各缸扫气口,通过扫气箱检查各缸扫气口,通过扫气箱检查各缸扫气口,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[493],493,"[""eocc_7de83a76435baba5""]",eocc_7de83a76435baba5
ent_0e190580b1d718b4,ent_0e190580b1d718b4,ent_0e190580b1d718b4,IHIVTR631-1,ihivtr6311,IHIVTR631-1,设备部件,设备部件,"[""设备部件""]",设备部件,,"{""制造商"": ""IHI"", ""型号"": ""VTR631-1""}",[471],471,"[""eocc_727ea2278f5633a1""]",eocc_727ea2278f5633a1
ent_0e1a542a535f13bf,ent_0e1a542a535f13bf,ent_0e1a542a535f13bf,YC 轮主机缸套、活塞异常磨损,yc轮主机缸套活塞异常磨损,YC 轮主机缸套、活塞异常磨损,事故案例,事故案例,"[""事故案例""]",事故案例,,"{""主机型号"": ""B&W7K62EF"", ""功率"": ""6900 kW"", ""时间"": ""1993 年 1 月 10 日""}",[493],493,"[""eocc_7da03dc9642bebbd""]",eocc_7da03dc9642bebbd
ent_0e35b0fd034c9469,ent_0e35b0fd034c9469,ent_0e35b0fd034c9469,松动,松动,松动,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[481],481,"[""eocc_a28353573b7e3aa9""]",eocc_a28353573b7e3aa9
ent_0e40e3c964531078,ent_0e40e3c964531078,ent_0e40e3c964531078,排烟温度报警,排烟温度报警,排烟温度报警,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[479],479,"[""eocc_f07b99a1e8eed9da""]",eocc_f07b99a1e8eed9da
ent_0e937c0f32579bbc,ent_0e937c0f32579bbc,ent_0e937c0f32579bbc,第 2 缸缸头出水温度高于其他缸,第2缸缸头出水温度高于其他缸,第 2 缸缸头出水温度高于其他缸,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[509],509,"[""eocc_32ae537724e4f56d""]",eocc_32ae537724e4f56d
ent_0ebab96bc3ba6d3c,ent_0ebab96bc3ba6d3c,ent_0ebab96bc3ba6d3c,机器上下部件跳动,机器上下部件跳动,机器上下部件跳动,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[514],514,"[""eocc_9552bc2ced7c8f47""]",eocc_9552bc2ced7c8f47
ent_0ec1c61bb7bbace4,ent_0ec1c61bb7bbace4,ent_0ec1c61bb7bbace4,业务水平低，工作粗心，不能在第一时间发现事故苗头,业务水平低工作粗心不能在第一时间发现事故苗头,业务水平低，工作粗心，不能在第一时间发现事故苗头,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[463],463,"[""eocc_4247b6394898caf4""]",eocc_4247b6394898caf4
ent_0f2d39bdf1e3432b,ent_0f2d39bdf1e3432b,ent_0f2d39bdf1e3432b,第 1 缸吊缸检查并换新缸套,第1缸吊缸检查并换新缸套,第 1 缸吊缸检查并换新缸套,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[466],466,"[""eocc_9974041057d3dad9""]",eocc_9974041057d3dad9
ent_0f465e21bd5db59f,ent_0f465e21bd5db59f,ent_0f465e21bd5db59f,对主机 6 只气缸进行吊缸检查,对主机6只气缸进行吊缸检查,对主机 6 只气缸进行吊缸检查,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[460],460,"[""eocc_4f9c3c58a53f73d4""]",eocc_4f9c3c58a53f73d4
ent_0f5342c540032561,ent_0f5342c540032561,ent_0f5342c540032561,螺旋桨,螺旋桨,螺旋桨,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[511],511,"[""eocc_8225f0039d4c1d32""]",eocc_8225f0039d4c1d32
ent_0f7334a7ae8ff0b5,ent_0f7334a7ae8ff0b5,ent_0f7334a7ae8ff0b5,安装压力表,安装压力表,安装压力表,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[471],471,"[""eocc_9b069e5add149319""]",eocc_9b069e5add149319
ent_0f8e1af92977945b,ent_0f8e1af92977945b,ent_0f8e1af92977945b,气缸油总成,气缸油总成,气缸油总成,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[475],475,"[""eocc_fcf96f2297c85c97""]",eocc_fcf96f2297c85c97
ent_0fba104feb97a03c,ent_0fba104feb97a03c,ent_0fba104feb97a03c,燃气漏出,燃气漏出,燃气漏出,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[489],489,"[""eocc_66ca889b197bdc88""]",eocc_66ca889b197bdc88
ent_101b52a53597a1c1,ent_101b52a53597a1c1,ent_101b52a53597a1c1,××轮,轮,××轮,船舶,船舶,"[""船舶""]",船舶,,"{""制造地"": ""日本"", ""制造年份"": ""1989 年"", ""功率"": ""7203 kW"", ""建造地点"": ""台湾基隆船厂"", ""建造时间"": ""1980 年"", ""船舶类型"": ""二手集装箱船"", ""购入时间"": ""1987 年"", ""转速"": ""81r/min"", ""载货量"": ""64000 吨""}","[468, 489]",468|489,"[""eocc_329f79fc50d6f218"", ""eocc_7acf5fbba6f0e2c4""]",eocc_329f79fc50d6f218|eocc_7acf5fbba6f0e2c4
ent_1039719813dd8d86,ent_1039719813dd8d86,ent_1039719813dd8d86,对空冷器清洗工作也不彻底,对空冷器清洗工作也不彻底,对空冷器清洗工作也不彻底,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[472],472,"[""eocc_cc957311a829d711""]",eocc_cc957311a829d711
ent_106988dc8218837f,ent_106988dc8218837f,ent_106988dc8218837f,沉淀,沉淀,沉淀,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[506],506,"[""eocc_a11b7d11a5da785f""]",eocc_a11b7d11a5da785f
ent_10c43f0a50063fac,ent_10c43f0a50063fac,ent_10c43f0a50063fac,旧轴承,旧轴承,旧轴承,设备部件,设备部件,"[""设备部件""]",设备部件,,"{""来源"": ""过去厂修换下"", ""状况"": ""情况不明""}",[463],463,"[""eocc_78266eee8595a597""]",eocc_78266eee8595a597
ent_10f631cc5e7083e1,ent_10f631cc5e7083e1,ent_10f631cc5e7083e1,掏出油泥 20 余桶,掏出油泥20余桶,掏出油泥 20 余桶,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[466],466,"[""eocc_f39715a89eec6568""]",eocc_f39715a89eec6568
ent_10fd33f108385039,ent_10fd33f108385039,ent_10fd33f108385039,压缩压力不足,压缩压力不足,压缩压力不足,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[488],488,"[""eocc_c42d916939651509""]",eocc_c42d916939651509
ent_10ffac38751824e7,ent_10ffac38751824e7,ent_10ffac38751824e7,严重敲缸,严重敲缸,严重敲缸,故障损伤,故障损伤,"[""故障损伤""]",故障损伤,,{},[474],474,"[""eocc_bae5b19b56e81ccf""]",eocc_bae5b19b56e81ccf
